k,Energy (eV)
0.33865,-9.612089
0.3647,-9.614811
0.39074,-9.617531
0.41679,-9.618892
0.44284,-9.620253
0.46889,-9.621614
0.49494,-9.621614
0.52099,-9.622974
0.54704,-9.622974
0.57309,-9.622974
0.59914,-9.622974
0.62519,-9.622974
0.65124,-9.622974
0.67729,-9.622974
0.70334,-9.622974
0.72939,-9.622974
0.75544,-9.622974
,
,
0.0,-9.628416
0.02605,-9.622974
0.0521,-9.618892
0.07815,-9.61617
0.1042,-9.612089
0.13025,-9.609368
0.1563,-9.605287
0.18235,-9.601205
0.2084,-9.598483
0.23445,-9.601205
0.2605,-9.603927
0.28655,-9.606647
0.3126,-9.609368
0.33865,-9.612089
0.3647,-9.614811
0.39074,-9.617531
0.41679,-9.618892
0.44284,-9.620253
0.46889,-9.621614
0.49494,-9.621614
0.52099,-9.622974
0.54704,-9.622974
0.57309,-9.622974
0.59914,-9.622974
0.62519,-9.622974
0.65124,-9.622974
0.67729,-9.622974
0.70334,-9.622974
0.72939,-9.622974
0.75544,-9.622974
,
,
0.0,-9.588959
0.02605,-9.588959
0.0521,-9.591681
0.07815,-9.591681
0.1042,-9.593041
0.13025,-9.593041
0.1563,-9.594402
0.18235,-9.595763
0.2084,-9.598483
0.23445,-9.601205
0.2605,-9.603927
0.28655,-9.605287
0.3126,-9.599844
0.33865,-9.594402
0.3647,-9.588959
0.39074,-9.583517
0.41679,-9.578074
0.44284,-9.572633
0.46889,-9.56855
0.49494,-9.56583
0.52099,-9.564469
0.54704,-9.563108
0.57309,-9.561748
0.59914,-9.560387
0.62519,-9.559026
0.65124,-9.557666
0.67729,-9.557666
0.70334,-9.556306
0.72939,-9.556306
0.75544,-9.556306
,
,
0.0,-9.588959
0.02605,-9.588959
0.0521,-9.588959
0.07815,-9.59032
0.1042,-9.59032
0.13025,-9.591681
0.1563,-9.594402
0.18235,-9.595763
0.2084,-9.598483
0.23445,-9.594402
0.2605,-9.59032
0.28655,-9.586239
0.3126,-9.582156
0.33865,-9.578074
0.3647,-9.576714
0.39074,-9.573994
0.41679,-9.572633
0.44284,-9.569911
0.46889,-9.567189
0.49494,-9.563108
0.52099,-9.557666
0.54704,-9.552224
0.57309,-9.552224
0.59914,-9.552224
0.62519,-9.550863
0.65124,-9.550863
0.67729,-9.550863
0.70334,-9.550863
0.72939,-9.550863
0.75544,-9.550863
,
,
0.0,-9.584878
0.02605,-9.588959
0.0521,-9.588959
0.07815,-9.59032
0.1042,-9.59032
0.13025,-9.591681
0.1563,-9.591681
0.18235,-9.59032
0.2084,-9.588959
0.23445,-9.587598
0.2605,-9.584878
0.28655,-9.583517
0.3126,-9.580796
0.33865,-9.578074
0.3647,-9.573994
0.39074,-9.569911
0.41679,-9.56583
0.44284,-9.561748
0.46889,-9.557666
0.49494,-9.553584
0.52099,-9.553584
0.54704,-9.552224
0.57309,-9.552224
