k,Energy (eV)
0.05219,-9.739848
0.07828,-9.739848
0.10438,-9.739848
0.13047,-9.739848
0.15656,-9.739848
0.18266,-9.739848
0.20875,-9.739848
0.23485,-9.739848
0.26094,-9.739848
0.28703,-9.739848
0.31313,-9.739848
0.33922,-9.739848
0.36531,-9.739848
0.39141,-9.739848
0.4175,-9.739848
0.4436,-9.739848
0.46969,-9.739848
0.49578,-9.738487
0.52188,-9.738487
0.54797,-9.738487
0.57406,-9.738487
0.60016,-9.738487
0.62625,-9.738487
0.65235,-9.738487
0.67844,-9.737126
0.70453,-9.737126
0.73063,-9.737126
0.75672,-9.737126
,
,
0.0,-9.671819
0.0261,-9.671819
0.05219,-9.671819
0.07828,-9.671819
0.10438,-9.673179
0.13047,-9.673179
0.15656,-9.67454
0.18266,-9.67454
0.20875,-9.6759
0.23485,-9.677261
0.26094,-9.678621
0.28703,-9.679982
0.31313,-9.681343
0.33922,-9.682703
0.36531,-9.684064
0.39141,-9.686786
0.4175,-9.688146
0.4436,-9.690867
0.46969,-9.692227
0.49578,-9.694948
0.52188,-9.696309
0.54797,-9.697669
0.57406,-9.700391
0.60016,-9.701752
0.62625,-9.703112
0.65235,-9.704473
0.67844,-9.704473
0.70453,-9.705833
0.73063,-9.705833
0.75672,-9.705833
,
,
0.0,-9.671819
0.0261,-9.671819
0.05219,-9.671819
0.07828,-9.671819
0.10438,-9.673179
0.13047,-9.673179
0.15656,-9.67454
0.18266,-9.67454
0.20875,-9.6759
0.23485,-9.677261
0.26094,-9.678621
0.28703,-9.679982
0.31313,-9.681343
0.33922,-9.682703
0.36531,-9.684064
0.39141,-9.686786
0.4175,-9.688146
0.4436,-9.690867
0.46969,-9.692227
0.49578,-9.694948
0.52188,-9.696309
0.54797,-9.697669
0.57406,-9.700391
0.60016,-9.701752
0.62625,-9.703112
0.65235,-9.704473
0.67844,-9.704473
0.70453,-9.705833
0.73063,-9.705833
0.75672,-9.705833
,
,
0.0,-9.572496
0.0261,-9.5793
0.05219,-9.586102
0.07828,-9.591544
0.10438,-9.598348
0.13047,-9.60379
0.15656,-9.609232
0.18266,-9.614674
0.20875,-9.618756
0.23485,-9.622838
0.26094,-9.62692
0.28703,-9.631001
0.31313,-9.633722
0.33922,-9.636444
0.36531,-9.639165
0.39141,-9.641886
0.4175,-9.644607
0.4436,-9.645967
0.46969,-9.647328
0.49578,-9.648688
0.52188,-9.650049
0.54797,-9.65141
0.57406,-9.65141
0.60016,-9.652771
0.62625,-9.652771
0.65235,-9.652771
0.67844,-9.654131
0.70453,-9.654131
0.73063,-9.654131
0.75672,-9.654131
,
,
0.0,-9.572496
0.0261,-9.572496
0.05219,-9.572496
0.07828,-9.572496
0.10438,-9.573857
0.13047,-9.573857
0.15656,-9.573857
0.18266,-9.573857
0.20875,-9.575217
0.23485,-9.575217
0.26094,-9.575217
0.28703,-9.576578
0.31313,-9.576578
0.33922,-9.577939
0.36531,-9.577939
0.39141,-9.577939
0.4175,-9.5793
0.4436,-9.5793
0.46969,-9.58066
0.49578,-9.58066
0.52188,-9.58066
0.54797,-9.58066
0.57406,-9.582021
0.60016,-9.582021
0.62625,-9.582021
0.65235,-9.582021
0.67844,-9.582021
0.70453,-9.582021
0.73063,-9.582021
0.75672,-9.582021
,
,
0.0,-9.572496
0.0261,-9.572496
0.05219,-9.572496
0.07828,-9.572496
0.10438,-9.573857
0.13047,-9.573857
0.15656,-9.573857
0.18266,-9.573857
0.20875,-9.575217
0.23485,-9.575217
0.26094,-9.575217
0.28703,-9.576578
0.31313,-9.576578
0.33922,-9.577939
0.36531,-9.577939
0.39141,-9.577939
0.4175,-9.5793
0.4436,-9.5793
0.46969,-9.58066
0.49578,-9.58066
0.52188,-9.58066
0.54797,-9.58066
0.57406,-9.582021
0.60016,-9.582021
0.62625,-9.582021
0.65235,-9.582021
0.67844,-9.582021
0.70453,-9.582021
0.73063,-9.582021
0.75672,-9.582021
,
,
0.0,-9.572496
0.0261,-9.565693
0.05219,-9.55889
0.07828,-9.552088
0.10438,-9.543924
0.13047,-9.537121
0.15656,-9.528958
0.18266,-9.522155
0.20875,-9.513991
0.23485,-9.50991
0.26094,-9.513991
0.28703,-9.516712
0.31313,-9.520795
0.33922,-9.523516
0.36531,-9.526237
0.39141,-9.530318
0.4175,-9.533039
0.4436,-9.535761
0.46969,-9.538482
0.49578,-9.539843
0.52188,-9.542563
0.54797,-9.543924
0.57406,-9.546645
0.60016,-9.548006
0.62625,-9.549367
0.65235,-9.550727
0.67844,-9.550727
0.70453,-9.552088
0.73063,-9.552088
0.75672,-9.552088
,
,
0.0,-9.477256
0.0261,-9.481338
0.05219,-9.485419
0.07828,-9.48814
0.10438,-9.492222
0.13047,-9.496305
0.15656,-9.500386
0.18266,-9.503107
0.20875,-9.507188
0.23485,-9.505828
0.26094,-9.499025
0.28703,-9.490862
0.31313,-9.484058
0.33922,-9.475895
0.36531,-9.469092
